date,close_price,open_price,high_price,low_price,up,down,trading_volume
2021.08.13,"74,400","75,800","76,000","74,100",0,"-2,600","61,270,643"
2021.08.17,"74,200","74,000","75,100","74,000",0,-200,"30,944,847"
2021.08.18,"73,900","73,900","74,600","73,100",0,-300,"29,192,631"
2021.08.19,"73,100","73,500","74,400","73,100",0,-800,"22,166,298"
2021.08.20,"72,700","73,500","73,900","72,500",0,-400,"22,364,803"
2021.08.23,"73,300","73,300","74,000","73,000",600,0,"19,384,648"
2021.08.24,"75,600","73,900","75,700","73,900","2,300",0,"21,016,913"
2021.08.25,"75,700","76,200","76,600","74,900",100,0,"22,319,664"
2021.08.26,"74,600","76,100","76,200","74,600",0,"-1,100","16,671,494"
2021.08.27,"74,300","74,300","75,000","73,800",0,-300,"15,172,748"
2021.08.30,"74,600","75,400","75,500","74,200",300,0,"12,686,999"
2021.08.31,"76,700","74,900","76,700","74,300","2,100",0,"24,630,370"
2021.09.01,"76,800","76,700","77,100","75,900",100,0,"16,114,775"
2021.09.02,"76,000","76,800","76,800","75,700",0,-800,"15,347,486"
2021.09.03,"76,600","76,400","76,700","76,000",600,0,"12,096,419"
2021.09.06,"77,300","76,800","77,600","76,600",700,0,"12,861,180"
2021.09.07,"76,100","77,100","77,100","75,900",0,"-1,200","13,239,401"
2021.09.08,"76,300","76,000","76,400","75,600",200,0,"11,798,147"
2021.09.09,"75,300","76,400","76,600","75,000",0,"-1,000","17,600,770"
2021.09.10,"75,300","75,300","75,600","74,800",0,0,"10,103,212"
2021.09.13,"76,300","75,200","76,300","75,100","1,000",0,"11,397,775"
2021.09.14,"76,600","77,100","77,700","76,600",300,0,"18,167,057"
2021.09.15,"77,000","77,400","77,400","76,400",400,0,"12,829,128"
2021.09.16,"76,100","77,300","77,400","76,100",0,-900,"13,067,622"
2021.09.17,"77,200","76,300","77,200","75,900","1,100",0,"16,289,502"
2021.09.23,"77,400","77,500","77,600","76,800",200,0,"17,055,590"
2021.09.24,"77,300","77,600","77,700","77,100",0,-100,"12,247,274"
2021.09.27,"77,700","77,300","77,700","77,000",400,0,"11,699,798"
2021.09.28,"76,300","77,700","77,800","76,200",0,"-1,400","15,406,382"
2021.09.29,"74,100","74,800","75,300","73,800",0,"-2,200","23,992,458"
2021.09.30,"74,100","74,300","74,800","73,700",0,0,"19,919,361"
2021.10.01,"73,200","73,900","74,000","72,900",0,-900,"15,803,395"
2021.10.05,"72,200","73,000","73,000","71,400",0,"-1,000","24,013,921"
2021.10.06,"71,300","72,600","72,800","71,200",0,-900,"18,956,962"
2021.10.07,"71,600","71,600","72,100","71,300",300,0,"13,683,532"
2021.10.08,"71,500","72,300","72,400","71,500",0,-100,"14,043,287"
2021.10.12,"69,000","70,700","70,900","68,700",0,"-2,500","31,001,484"
2021.10.13,"68,800","68,700","69,600","68,300",0,-200,"24,172,015"
2021.10.14,"69,400","69,000","69,800","68,800",600,0,"19,520,641"
2021.10.15,"70,100","70,200","71,000","70,000",700,0,"18,051,612"
2021.10.18,"70,200","70,200","70,300","69,200",100,0,"13,486,391"
2021.10.19,"70,600","70,800","71,000","70,400",400,0,"9,507,991"
2021.10.20,"70,300","70,700","71,000","70,200",0,-300,"10,151,638"
2021.10.21,"70,200","70,300","70,600","70,000",0,-100,"10,891,094"
2021.10.22,"70,400","70,000","70,700","70,000",200,0,"8,395,448"
2021.10.25,"70,200","69,900","70,600","69,500",0,-200,"10,029,621"
2021.10.26,"71,100","70,600","71,500","70,400",900,0,"10,528,252"
2021.10.27,"70,100","71,000","71,000","70,000",0,"-1,000","10,295,316"
2021.10.28,"70,700","69,500","72,200","69,500",600,0,"20,644,902"
2021.10.29,"69,800","71,200","71,600","69,700",0,-900,"17,016,151"
2021.11.01,"69,900","70,200","70,600","69,900",100,0,"11,503,729"
2021.11.02,"71,500","70,800","72,200","70,700","1,600",0,"16,812,570"
2021.11.03,"70,400","71,700","71,700","70,100",0,"-1,100","12,770,428"
2021.11.04,"70,600","71,200","71,600","70,500",200,0,"11,818,987"
2021.11.05,"70,200","71,600","71,600","70,200",0,-400,"12,667,743"
2021.11.08,"70,600","70,400","70,600","69,800",400,0,"11,121,981"
2021.11.09,"70,500","70,300","71,000","70,100",0,-100,"11,159,589"
2021.11.10,"70,200","70,300","70,900","70,200",0,-300,"9,422,009"
2021.11.11,"69,900","69,900","70,000","69,600",0,-300,"11,489,122"
2021.11.12,"70,600","70,200","70,900","69,900",700,0,"10,087,450"
2021.11.15,"71,400","71,700","71,900","70,900",800,0,"12,420,710"
2021.11.16,"71,300","71,500","72,000","71,300",0,-100,"10,919,239"
2021.11.17,"70,700","71,300","71,600","70,600",0,-600,"11,027,606"
2021.11.18,"70,200","70,700","71,000","70,200",0,-500,"10,144,957"
2021.11.19,"71,200","70,400","71,400","70,100","1,000",0,"11,954,728"
2021.11.22,"74,900","73,300","75,200","73,000","3,700",0,"27,506,623"
2021.11.23,"75,300","76,000","76,000","74,500",400,0,"22,029,195"
2021.11.24,"74,800","76,000","76,200","74,100",0,-500,"15,652,305"
2021.11.25,"73,700","75,100","75,100","73,600",0,"-1,100","12,559,258"
2021.11.26,"72,300","73,500","74,100","72,000",0,"-1,400","13,002,242"
2021.11.29,"72,300","71,700","73,000","71,400",0,0,"16,682,559"
2021.11.30,"71,300","73,200","73,900","70,500",0,"-1,000","30,364,841"
2021.12.01,"74,400","72,000","74,800","71,600","3,100",0,"21,954,856"
2021.12.02,"75,800","73,900","75,800","73,800","1,400",0,"23,652,940"
2021.12.03,"75,600","75,600","76,000","74,100",0,-200,"18,330,240"
2021.12.06,"76,300","75,100","76,700","74,900",700,0,"16,391,250"
2021.12.07,"77,400","76,100","77,700","75,600","1,100",0,"19,232,453"
2021.12.08,"77,400","78,300","78,600","77,100",0,0,"21,558,340"
2021.12.09,"78,200","77,400","78,200","77,000",800,0,"21,604,528"
2021.12.10,"76,900","77,400","77,600","76,800",0,"-1,300","9,091,202"
